,org_text,clean_text,end_time,start_time,url
5,NEED,need,2.269,0.0,https://www.youtube.com/watch?v=ieLzL1Sl6SU
21,COACH,boss,52.285,48.048,https://www.youtube.com/watch?v=G77ZoILMYw4
23,DOCTOR,doctor,83.283,80.38,https://www.youtube.com/watch?v=G77ZoILMYw4
26,JUDGE,judge,163.196,158.291,https://www.youtube.com/watch?v=G77ZoILMYw4
27,LAWYER,lawyer,168.301,165.298,https://www.youtube.com/watch?v=G77ZoILMYw4
30,MILITARY,army,221.387,217.751,https://www.youtube.com/watch?v=G77ZoILMYw4
32,NURSE,nurse,242.642,239.706,https://www.youtube.com/watch?v=G77ZoILMYw4
38,SECRETARY,secretary,308.708,304.637,https://www.youtube.com/watch?v=G77ZoILMYw4
39,TEACHER,teacher,335.301,332.331,https://www.youtube.com/watch?v=G77ZoILMYw4
41,BOTH,both,34.201,29.496,https://www.youtube.com/watch?v=cNtU2UH-2Rk
42,BREAKFAST,breakfast,37.538,35.002,https://www.youtube.com/watch?v=cNtU2UH-2Rk
44,"COAT, jacket",jacket,49.349,45.345,https://www.youtube.com/watch?v=cNtU2UH-2Rk
46,DINNER,dinner,58.759,56.023,https://www.youtube.com/watch?v=cNtU2UH-2Rk
50,FACE,face,73.407,71.071,https://www.youtube.com/watch?v=cNtU2UH-2Rk
53,HEAD,head,122.522,119.252,https://www.youtube.com/watch?v=cNtU2UH-2Rk
54,HEART,heart,126.793,122.756,https://www.youtube.com/watch?v=cNtU2UH-2Rk
55,KNIFE,knife,131.698,127.027,https://www.youtube.com/watch?v=cNtU2UH-2Rk
56,LUNCH,lunch,141.375,136.603,https://www.youtube.com/watch?v=cNtU2UH-2Rk
58,"MISTAKE, error",wrong,159.326,155.522,https://www.youtube.com/watch?v=cNtU2UH-2Rk
59,NOSE,nose,167.734,164.464,https://www.youtube.com/watch?v=cNtU2UH-2Rk
61,PEOPLE,people,185.519,181.314,https://www.youtube.com/watch?v=cNtU2UH-2Rk
63,SEVERAL,several,200.3,195.595,https://www.youtube.com/watch?v=cNtU2UH-2Rk
64,SHIRT,shirt,204.771,200.534,https://www.youtube.com/watch?v=cNtU2UH-2Rk
66,STILL,still,228.662,225.225,https://www.youtube.com/watch?v=cNtU2UH-2Rk
67,STORE,store,236.036,232.365,https://www.youtube.com/watch?v=cNtU2UH-2Rk
68,TIME,time,238.772,236.269,https://www.youtube.com/watch?v=cNtU2UH-2Rk
74,MEETING,meeting,6.333,0.0,https://www.youtube.com/watch?v=MKMoVapmIYU
93,LAW,law,68.502,65.165,https://www.youtube.com/watch?v=FWc_-goPDiY
97,SAME,same,1.435,0.0,https://www.youtube.com/watch?v=rDAGt54vEsI
128,MEDICINE,medicine,28.161,25.459,https://www.youtube.com/watch?v=UxuLj17UyDU
132,MORNING,morning,13.649000000000001,11.14,https://www.youtube.com/watch?v=iDFtTpXAMJE
134,AFTERNOON,afternoon,18.934,16.927,https://www.youtube.com/watch?v=iDFtTpXAMJE
135,EVENING/NIGHT,night,22.313,19.001,https://www.youtube.com/watch?v=iDFtTpXAMJE
136,MIDNIGHT,midnight,25.056,22.347,https://www.youtube.com/watch?v=iDFtTpXAMJE
137,MINUTE,minute,33.085,31.412,https://www.youtube.com/watch?v=iDFtTpXAMJE
138,HOUR,hour,35.694,34.323,https://www.youtube.com/watch?v=iDFtTpXAMJE
139,DAY,day,38.437,36.43,https://www.youtube.com/watch?v=iDFtTpXAMJE
140,WEEK,week,40.144,39.006,https://www.youtube.com/watch?v=iDFtTpXAMJE
141,MONTH,month,42.184,40.512,https://www.youtube.com/watch?v=iDFtTpXAMJE
142,YEAR,year,44.191,42.954,https://www.youtube.com/watch?v=iDFtTpXAMJE
150,Spring ,spring,3.333,0.667,https://www.youtube.com/watch?v=WJCEpGRkGoM
154,HELLO,hello,2.007,0.87,https://www.youtube.com/watch?v=-DMFu-nAsok
160,DRESS,dress,24.153,22.748,https://www.youtube.com/watch?v=-DMFu-nAsok
161,BELT,belt,42.486,40.612,https://www.youtube.com/watch?v=-DMFu-nAsok
163,WATCH or WATCH (two different signs),watch,60.116,57.138,https://www.youtube.com/watch?v=-DMFu-nAsok
168,RING,ring,87.614,85.808,https://www.youtube.com/watch?v=-DMFu-nAsok
180,GAME,game,111.745,110.143,https://www.youtube.com/watch?v=-ChOGBEL5uE
181,EQUAL,equal,124.992,123.023,https://www.youtube.com/watch?v=-ChOGBEL5uE
182,MOST,most,130.831,128.795,https://www.youtube.com/watch?v=-ChOGBEL5uE
183,MAD,mad,153.32,151.485,https://www.youtube.com/watch?v=-ChOGBEL5uE
184,CAREFUL,careful,158.091,154.287,https://www.youtube.com/watch?v=-ChOGBEL5uE
187,PLATE,plate,170.604,169.002,https://www.youtube.com/watch?v=-ChOGBEL5uE
188,NEXT,next,173.74,172.072,https://www.youtube.com/watch?v=-ChOGBEL5uE
189,WAIT,wait,179.513,177.31,https://www.youtube.com/watch?v=-ChOGBEL5uE
190,EASY,easy,182.549,180.914,https://www.youtube.com/watch?v=-ChOGBEL5uE
195,RESPONSE,answer,21.433,20.0,https://www.youtube.com/watch?v=hCxSiN-vZS8
196,I GOOD (I am good),good,23.467,22.1,https://www.youtube.com/watch?v=hCxSiN-vZS8
197,I SO-SO (I am so-so),so,25.867,23.7,https://www.youtube.com/watch?v=hCxSiN-vZS8
199,I TIRED (I am tired),tired,31.433,29.2,https://www.youtube.com/watch?v=hCxSiN-vZS8
208,PRACTICE,practice,4.868,0.0,https://www.youtube.com/watch?v=MphRuIWLyxA
213,BOAT,boat,20.313,18.439,https://www.youtube.com/watch?v=MRhaDlslxF8
214,HORSE,horse,22.956,21.149,https://www.youtube.com/watch?v=MRhaDlslxF8
215,BIKE/BICYCLE,bicycle,24.462,23.525,https://www.youtube.com/watch?v=MRhaDlslxF8
216,BUS,bus,29.348,26.838,https://www.youtube.com/watch?v=MRhaDlslxF8
217,BUY,buy,33.096,30.988,https://www.youtube.com/watch?v=MRhaDlslxF8
218,WALK,walk,42.098,40.09,https://www.youtube.com/watch?v=MRhaDlslxF8
219,BUSINESS,business,46.582,45.411,https://www.youtube.com/watch?v=MRhaDlslxF8
220,VACATION,vacation,49.393,47.385,https://www.youtube.com/watch?v=MRhaDlslxF8
221,TICKET,ticket,51.769,50.397,https://www.youtube.com/watch?v=MRhaDlslxF8
222,GARAGE,garage,57.424,55.617,https://www.youtube.com/watch?v=MRhaDlslxF8
223,CAR,car,62.243,61.072,https://www.youtube.com/watch?v=MRhaDlslxF8
245,ANY,any,6.44,3.871,https://www.youtube.com/watch?v=HuViTIjghKk
246,ARRIVE,arrive,10.511,6.673,https://www.youtube.com/watch?v=HuViTIjghKk
247,BECOME,become,17.484,14.548,https://www.youtube.com/watch?v=HuViTIjghKk
248,BREAK,break,21.488,17.718,https://www.youtube.com/watch?v=HuViTIjghKk
249,CANDY,candy,34.868,31.198,https://www.youtube.com/watch?v=HuViTIjghKk
251,DIFFERENT,different,53.186,50.183,https://www.youtube.com/watch?v=HuViTIjghKk
253,DRAW,draw,60.961,57.257,https://www.youtube.com/watch?v=HuViTIjghKk
254,FLOWER,flower,75.943,72.239,https://www.youtube.com/watch?v=HuViTIjghKk
257,HOW,how,93.226,89.256,https://www.youtube.com/watch?v=HuViTIjghKk
260,QUESTION,question,125.993,121.955,https://www.youtube.com/watch?v=HuViTIjghKk
261,STUDY,study,136.069,132.065,https://www.youtube.com/watch?v=HuViTIjghKk
263,WHAT,what,173.006,169.669,https://www.youtube.com/watch?v=HuViTIjghKk
264,WHEN,when,191.858,187.587,https://www.youtube.com/watch?v=HuViTIjghKk
265,WHERE,where,198.732,195.429,https://www.youtube.com/watch?v=HuViTIjghKk
266,"WHICH, or",which,202.235,198.965,https://www.youtube.com/watch?v=HuViTIjghKk
267,WHO,who,205.806,202.469,https://www.youtube.com/watch?v=HuViTIjghKk
269,WHY,why,213.113,208.942,https://www.youtube.com/watch?v=HuViTIjghKk
271,ASK(av),ask,5.8,0.0,https://www.youtube.com/watch?v=sFVuaL7vxh8
278,Forget ,forget,4.667,2.0,https://www.youtube.com/watch?v=BwwJn_p5q4A
280,PAY,pay,2.3689999999999998,0.0,https://www.youtube.com/watch?v=NITbWXFWvYs
