word,path,course
a,../../public/signs/alphabet-1/a.jpg,aplhabet-1
b,../../public/signs/aplhabet-1/b.jpg,aplhabet-1
c,../../public/signs/aplhabet-1/c.jpg,aplhabet-1
d,../../public/signs/aplhabet-1/d.jpg,aplhabet-1
e,../../public/signs/aplhabet-1/e.jpg,aplhabet-1
f,../../public/signs/aplhabet-1/f.jpg,aplhabet-1
g,../../public/signs/aplhabet-1/g.jpg,aplhabet-1
h,../../public/signs/aplhabet-1/h.jpg,aplhabet-1
i,../../public/signs/aplhabet-1/i.jpg,aplhabet-1
j,../../public/signs/aplhabet-1/j.jpg,aplhabet-1
k,../../public/signs/aplhabet-1/k.jpg,aplhabet-1
l,../../public/signs/aplhabet-1/l.jpg,aplhabet-1
m,../../public/signs/aplhabet-1/m.jpg,aplhabet-1
n,../../public/signs/alphabet-2/n.jpg,alphabet-2
o,../../public/signs/alphabet-2/o.jpg,alphabet-2
p,../../public/signs/alphabet-2/p.jpg,alphabet-2
q,../../public/signs/alphabet-2/q.jpg,alphabet-2
r,../../public/signs/alphabet-2/r.jpg,alphabet-2
s,../../public/signs/alphabet-2/s.jpg,alphabet-2
t,../../public/signs/alphabet-2/t.jpg,alphabet-2
u,../../public/signs/alphabet-2/u.jpg,alphabet-2
v,../../public/signs/alphabet-2/v.jpg,alphabet-2
w,../../public/signs/alphabet-2/w.jpg,alphabet-2
x,../../public/signs/alphabet-2/x.jpg,alphabet-2
y,../../public/signs/alphabet-2/y.jpg,alphabet-2
z,../../public/signs/alphabet-2/z.jpg,alphabet-2
goodbye,../../public/signs/basic-words/goodbye.jpg,basic-words
hello,../../public/signs/basic-words/hello.jpg,basic-words
i-love-you,../../public/signs/basic-words/i-love-you.jpg,basic-words
no,../../public/signs/basic-words/no.jpg,basic-words
please,../../public/signs/basic-words/please.jpg,basic-words
sorry,../../public/signs/basic-words/sorry.jpg,basic-words
thank-you,../../public/signs/basic-words/thank-you.jpg,basic-words
yes,../../public/signs/basic-words/yes.jpg,basic-words
youre-welcome,../../public/signs/basic-words/youre-welcome.jpg,basic-words
1,../../public/signs/numbers/1.jpg,numbers
2,../../public/signs/numbers/2.jpg,numbers
3,../../public/signs/numbers/3.jpg,numbers
4,../../public/signs/numbers/4.jpg,numbers
5,../../public/signs/numbers/5.jpg,numbers
6,../../public/signs/numbers/6.jpg,numbers
7,../../public/signs/numbers/7.jpg,numbers
8,../../public/signs/numbers/8.jpg,numbers
9,../../public/signs/numbers/9.jpg,numbers
10,../../public/signs/numbers/10.jpg,numbers
how,../../public/signs/question-marker/how.jpg,question-marker
what,../../public/signs/question-marker/what.jpg,question-marker
when,../../public/signs/question-marker/when.jpg,question-marker
which,../../public/signs/question-marker/which.jpg,question-marker
who,../../public/signs/question-marker/who.jpg,question-marker
why,../../public/signs/question-marker/why.jpg,question-marker
